file_name,package,minor,major,total,ownership,num_of_bugs
MultiTermQueryWrapperFilter.java,org.apache.lucene.search,0,3,4,0.3333333333333333,2
PostingsWriterBase.java,org.apache.lucene.codecs,0,0,1,1.0,0
CompressingStoredFieldsIndexReader.java,org.apache.lucene.codecs.compressing,0,1,2,0.5714285714285714,0
CompressingStoredFieldsReader.java,org.apache.lucene.codecs.compressing,1,1,3,0.6818181818181818,0
FloatField.java,org.apache.lucene.document,0,2,3,0.6,0
Similarity.java,org.apache.lucene.search.similarities,0,1,2,0.5,3
FilteredTermsEnum.java,org.apache.lucene.index,0,0,1,1.0,0
Lucene50SkipWriter.java,org.apache.lucene.codecs.lucene50,0,1,2,0.5,0
FilterDirectoryReader.java,org.apache.lucene.index,0,2,3,0.5,5
CachingTokenFilter.java,org.apache.lucene.analysis,0,1,2,0.6666666666666666,1
SegmentInfo.java,org.apache.lucene.index,0,3,4,0.5,4
DocTermOrdsRewriteMethod.java,org.apache.lucene.search,0,2,3,0.5,1
FilteredQuery.java,org.apache.lucene.search,0,2,3,0.5,7
RateLimitedIndexOutput.java,org.apache.lucene.store,0,2,3,0.6666666666666666,0
SortedIntSet.java,org.apache.lucene.util.automaton,0,1,2,0.6666666666666666,0
BitDocIdSet.java,org.apache.lucene.util,0,0,1,1.0,0
NRTCachingDirectory.java,org.apache.lucene.store,0,5,6,0.47058823529411764,0
PagedGrowableWriter.java,org.apache.lucene.util.packed,0,0,1,1.0,0
LeafCollector.java,org.apache.lucene.search,0,1,2,0.6,0
SortedSetSortField.java,org.apache.lucene.search,0,1,2,0.5,1
LongField.java,org.apache.lucene.document,0,2,3,0.6,1
LockFactory.java,org.apache.lucene.store,0,0,1,1.0,2
Lucene50CompoundFormat.java,org.apache.lucene.codecs.lucene50,0,1,2,0.8888888888888888,0
SingletonSortedSetDocValues.java,org.apache.lucene.index,0,0,1,1.0,0
QueryTimeoutImpl.java,org.apache.lucene.index,0,0,1,1.0,0
AbstractPagedMutable.java,org.apache.lucene.util.packed,0,1,2,0.6666666666666666,0
NoMergeScheduler.java,org.apache.lucene.index,0,1,2,0.5,0
FieldInvertState.java,org.apache.lucene.index,0,1,2,0.75,0
